Tweet_Id,Tweet,Tweet_Değiştirilmiş,Tweet_Tarih,Kullanıcı_Id,Kullanıcı_Adı,Dil
1596906815790682113,@reis060634 @artun50 @ankara_kusu Var ama bu nasıl bir soru. Sen başkasının yaptığı yanlışı neden kapamaya çalışıyo… https://t.co/WLc5rjv7j7,      Var ama bu nasıl bir soru  Sen başkasının yaptığı yanlışı neden kapamaya çalışıyo   ,2022-11-27 16:40:28+00:00,1296713438,Mert Göktaş,tr
1596906134417199105,VERTICAL MANOEUVRING ALERT : At time Sun Nov 27 16:34:27 2022 #THY5011 was  manoeuvering vertically (altchange=1120… https://t.co/rcSjmJ6Vwj,VERTICAL MANOEUVRING ALERT   At time Sun Nov         was  manoeuvering vertically  altchange   ,2022-11-27 16:37:46+00:00,892059375426297858,Radarspotters Assistant,tr
1596903891362549765,@ankara_kusu Bula bula bu Pokémonu mu buldunuz Recep tayyip Erdoğan’ın karşısına koymaya😂,  Bula bula bu Pokémonu mu buldunuz Recep tayyip Erdoğan ın karşısına koymaya😂,2022-11-27 16:28:51+00:00,3282428499,Emre_BJK🌟🌟🌟,tr
1596903773875900416,TRT’ye bak Katar’i gectim Ankara’dan bile Izmir’e mac anlatmak icin adam gonderememis. Ekonomi de sikinti mi var @trtspor hayirdir?,TRT ye bak Katar i gectim Ankara dan bile Izmir e mac anlatmak icin adam gonderememis  Ekonomi de sikinti mi var   hayirdir ,2022-11-27 16:28:23+00:00,105665623,🇦🇷 Kalamar Bira 🏴󠁧󠁢󠁥󠁮󠁧󠁿,tr
1596903278738296834,@muhammedyayli @ankara_kusu Bende son 16 diyorum okadar abartilacak takim degil.. Belcika yaslandi,    Bende son   diyorum okadar abartilacak takim degil  Belcika yaslandi,2022-11-27 16:26:25+00:00,1594019386389630976,Levko,tr
1596900232813764608,@ankara_kusu Göklerden gelen karar is loading... https://t.co/Jnkflj5RXV,  Göklerden gelen karar is loading   ,2022-11-27 16:14:19+00:00,1558862635,Mustafa D,tr
1596899911492304899,@ankara_kusu Aminnnn insAlllah . Yuce Rabbim insallah size ailenizden birisine sehadeti nasip eder bu yuce makama s… https://t.co/qgAdYaH2oq,  Aminnnn insAlllah   Yuce Rabbim insallah size ailenizden birisine sehadeti nasip eder bu yuce makama s   ,2022-11-27 16:13:02+00:00,1497884438520336386,Çağatay Erdoğan,tr
1596895952161210368,"@ankara_kusu Hiç bürokratların, siyasilerin, iş adamlarının çocuklarını şehit olurken gördünüz mü? Şehitliği öven h… https://t.co/p71d9R7h2j",  Hiç bürokratların  siyasilerin  iş adamlarının çocuklarını şehit olurken gördünüz mü  Şehitliği öven h   ,2022-11-27 15:57:18+00:00,1458929101,Sert Ünsüz,tr
1596895333791191040,"@ankara_kusu Anket yapın kaç kişi Kılıçdaroğlu diyecek bakalım. Halkın sesine kulak tıkayanlar, demokrasi vaadinde bulunmasın.",  Anket yapın kaç kişi Kılıçdaroğlu diyecek bakalım  Halkın sesine kulak tıkayanlar  demokrasi vaadinde bulunmasın ,2022-11-27 15:54:51+00:00,1458929101,Sert Ünsüz,tr
1596894793682268161,@KarTanesi20000 @ankara_kusu Mitinge gitmeyen memurlardan ve üyelerden savunma alınıyor mu?,    Mitinge gitmeyen memurlardan ve üyelerden savunma alınıyor mu ,2022-11-27 15:52:42+00:00,1458929101,Sert Ünsüz,tr
1596894420900532224,@kore_villa @elturko3333 @ankara_kusu Ya ne diyorsun kardeşim?,      Ya ne diyorsun kardeşim ,2022-11-27 15:51:13+00:00,1458929101,Sert Ünsüz,tr
1596894337148735488,@Ecinocss @pamukgibi @ankara_kusu Onların da aklına tüküreyim.,      Onların da aklına tüküreyim ,2022-11-27 15:50:53+00:00,1458929101,Sert Ünsüz,tr
